queen presence,apparent hive temp,apparent temp diff,CCD
1,24.51,1.8200000000000003,0
1,23.5,1.379999999999999,1
1,22.51,1.0400000000000027,0
1,22.08,1.6499999999999986,0
1,21.11,1.4199999999999982,0
1,20.92,1.7900000000000027,0
1,20.35,1.8500000000000014,0
1,19.73,1.7899999999999991,0
1,18.6,0.740000000000002,0
1,20.21,0.17999999999999972,1
1,32.54,8.39,0
1,46.71,19.220000000000002,1
1,53.64,23.0,0
1,57.12,23.269999999999996,1
1,53.92,18.990000000000002,0
1,54.21,17.36,0
1,50.19,12.059999999999995,0
1,41.62,4.449999999999996,0
1,39.44,1.6299999999999955,0
1,38.92,0.990000000000002,0
1,37.97,2.469999999999999,0
1,33.89,1.3999999999999986,0
1,31.14,0.8500000000000014,0
1,28.96,1.5199999999999996,0
1,26.44,0.990000000000002,0
1,25.89,1.5700000000000003,0
1,25.0,0.6799999999999997,1
1,24.05,0.990000000000002,1
1,22.46,0.22000000000000242,0
1,20.66,-0.5,0
1,20.3,0.17999999999999972,1
1,19.73,0.3000000000000007,0
1,19.14,0.4299999999999997,0
1,20.11,0.629999999999999,0
1,30.93,7.219999999999999,0
1,46.65,19.049999999999997,0
1,56.86,27.5,1
1,59.28,27.900000000000002,0
1,55.12,22.489999999999995,1
1,51.69,18.32,0
1,49.33,14.049999999999997,0
1,42.41,5.799999999999997,0
1,39.25,2.6300000000000026,0
1,37.59,1.7100000000000009,0
1,36.14,2.039999999999999,0
1,34.38,1.7600000000000051,0
1,32.44,1.769999999999996,0
1,29.0,1.9299999999999997,0
1,26.81,0.9100000000000001,0
1,25.59,0.9600000000000009,0
1,24.72,1.0,0
1,25.44,2.1900000000000013,0
1,24.91,1.8000000000000007,1
1,24.1,1.75,0
1,23.2,1.2799999999999976,1
1,22.85,1.3300000000000018,0
1,22.86,1.7100000000000009,0
1,23.8,2.4200000000000017,0
1,32.11,8.73,0
1,45.61,19.73,0
1,45.27,17.650000000000002,0
1,55.54,25.84,0
1,46.18,14.600000000000001,0
1,44.68,13.2,0
1,46.15,14.86,1
